time,rms,crest_factor,total_fft_energy
0.78374990,0.00675011,1.72741474,0.00983245
0.78624990,0.00626659,1.81248498,0.00895517
0.78874990,0.00624382,1.81909296,0.00898768
0.79124990,0.00607587,1.86937917,0.00817813
0.79374990,0.00579471,1.96007980,0.00710758
0.79624990,0.00539445,1.59676636,0.00589344
0.79874990,0.00536757,1.60476211,0.00577698
0.80124990,0.00535755,1.60776364,0.00575545
0.80374990,0.00531173,1.62163241,0.00567553
0.80624990,0.00536169,1.60652258,0.00578279
0.80874990,0.00507984,1.69565789,0.00529425
0.81124990,0.00488095,1.76475354,0.00503880
0.81374990,0.00455291,1.89190616,0.00465327
0.81624990,0.00440506,1.95540662,0.00463144
0.81874990,0.00438805,1.96298487,0.00462106
0.82124990,0.00442457,1.94678082,0.00461873
0.82374990,0.00434010,1.98467070,0.00431263
0.82624990,0.00434134,1.98410571,0.00431581
0.82874990,0.00416627,2.06747923,0.00393068
0.83124990,0.00369458,1.79535646,0.00295937
0.83374990,0.00344156,1.92735264,0.00249132
0.83624990,0.00354170,1.87285667,0.00254398
0.83874990,0.00414260,2.32052113,0.00345067
0.84124990,0.00464263,2.07059445,0.00443477
0.84374990,0.00527343,2.25990839,0.00607344
0.84624990,0.00511844,2.32833943,0.00601755
0.84874990,0.00498232,2.39195276,0.00617555
0.85124990,0.00499225,2.38719317,0.00596022
0.85374990,0.00504821,2.36073277,0.00578768
0.85624990,0.00536960,2.21943038,0.00634805
0.85874990,0.00581493,2.04946109,0.00691558
0.86124990,0.00659381,2.22938545,0.00905432
0.86374990,0.00692483,2.12281705,0.00982753
0.86624990,0.00720854,2.03926892,0.01089599
0.86874990,0.00719318,2.04362489,0.01085897
0.87124990,0.00716868,2.05060745,0.01089234
0.87374990,0.00719525,2.04303670,0.01096017
0.87624990,0.00723079,2.03299362,0.01071147
0.87874990,0.00738796,1.98974455,0.01126126
0.88124990,0.00756980,1.94194795,0.01162125
0.88374990,0.00789694,1.86149996,0.01292413
0.88624990,0.00831411,1.76809687,0.01420720
0.88874990,0.00835838,1.75873161,0.01438427
0.89124990,0.00840457,1.74906685,0.01453871
0.89374990,0.00806778,1.82208111,0.01321211
0.89624990,0.00804700,1.82678595,0.01314849
0.89874990,0.00807977,1.81937835,0.01310549
0.90124990,0.00830028,1.77104217,0.01387750
0.90374990,0.00853406,1.72252696,0.01461975
0.90624990,0.00838992,1.75212088,0.01410032
0.90874990,0.00818492,1.79600473,0.01344556
0.91124990,0.00755761,1.67015822,0.01148226
0.91374990,0.00733958,1.71977235,0.01089847
0.91624990,0.00707790,1.78335539,0.01025268
0.91874990,0.00707484,1.78412773,0.01031456
0.92124990,0.00712041,1.77270951,0.01052862
0.92374990,0.00719870,1.75343008,0.01082830
0.92624990,0.00711432,1.77422635,0.01046914
0.92874990,0.00702128,1.79773680,0.00997579
0.93124990,0.00707417,1.78429508,0.01004359
0.93374990,0.00761937,2.12201217,0.01219397
0.93624990,0.00738147,2.19040453,0.01219586
0.93874990,0.00720648,2.24359247,0.01284467
0.94124990,0.00687906,2.35037700,0.01231486
0.94374990,0.00688403,2.34868327,0.01231850
0.94624990,0.00723748,2.23398275,0.01277672
0.94874990,0.00736599,2.19500753,0.01231521
0.95124990,0.00715615,2.25936963,0.01120783
0.95374990,0.00705115,2.29301617,0.01018310
0.95624990,0.00694765,2.32717342,0.00980949
0.95874990,0.00707805,2.28430177,0.01004098
0.96124990,0.00728128,2.22054350,0.01089396
0.96374990,0.00734370,2.20166848,0.01127053
0.96624990,0.00732826,2.20630763,0.01142928
0.96874990,0.00732114,2.20845386,0.01137108
0.97124990,0.00733409,2.20455388,0.01112689
0.97374990,0.00735311,2.19885151,0.01102057
0.97624990,0.00737943,2.19100823,0.01101860
0.97874990,0.00728230,2.22023194,0.01077849
0.98124990,0.00708102,2.28334183,0.01060064
0.98374990,0.00615826,1.62667669,0.00884582
0.98624990,0.00581865,1.72161757,0.00872317
0.98874990,0.00557821,1.79582537,0.00871797
0.99124990,0.00552513,1.81307802,0.00846433
0.99374990,0.00539393,1.85718102,0.00768993
0.99624990,0.00498350,1.76026361,0.00611675
0.99874990,0.00500593,1.75237661,0.00553579
1.00124990,0.00556186,2.15830854,0.00635420
1.00374990,0.00564981,2.12470904,0.00640512
1.00624990,0.00567025,2.11705238,0.00655022
1.00874990,0.00539239,2.22613938,0.00617814
1.01124990,0.00502670,2.38809067,0.00570377
1.01374990,0.00495920,2.42059309,0.00609846
1.01624990,0.00507790,2.36401308,0.00669129
1.01874990,0.00522126,2.29910437,0.00732577
