time,rms,crest_factor,total_fft_energy
0.96624990,0.01207827,1.75807810,0.02956586
0.96874990,0.01173975,1.80877346,0.02791117
0.97124990,0.01173417,1.80963283,0.02795239
0.97374990,0.01174211,1.80840877,0.02798260
0.97624990,0.01174377,1.80815332,0.02798202
0.97874990,0.01174178,1.80845956,0.02797445
0.98124990,0.01174380,1.80814958,0.02800791
0.98374990,0.01165367,1.82213366,0.02754086
0.98624990,0.01107201,1.91785854,0.02457191
0.98874990,0.01010361,2.08033236,0.02057194
0.99124990,0.00916825,2.27255496,0.01696291
0.99374990,0.00903019,2.30729809,0.01650762
0.99624990,0.00927769,2.24574635,0.01738547
0.99874990,0.00897754,2.32082948,0.01612553
1.00124990,0.00812728,2.56362908,0.01341059
1.00374990,0.00730430,1.89119455,0.01093638
1.00624990,0.00704117,1.90601555,0.01027775
1.00874990,0.00711283,1.88681245,0.01046016
1.01124990,0.00708810,1.89339673,0.01028658
1.01374990,0.00690383,1.94393193,0.00972659
1.01624990,0.00662110,2.02694004,0.00884225
1.01874990,0.00660824,2.03088580,0.00880746
1.02124990,0.00662742,2.02500843,0.00889647
1.02374990,0.00657714,2.04048931,0.00877078
1.02624990,0.00676698,1.98324673,0.00919155
1.02874990,0.00679975,1.97368900,0.00927592
1.03124990,0.00679629,1.97469166,0.00925381
1.03374990,0.00675942,1.98546361,0.00915052
1.03624990,0.00675926,1.98550957,0.00915006
1.03874990,0.00664816,2.01869205,0.00886186
1.04124990,0.00633567,2.11825733,0.00806412
1.04374990,0.00578016,2.32183646,0.00693082
1.04624990,0.00564638,2.37684595,0.00711017
1.04874990,0.00567056,2.36671085,0.00739419
1.05124990,0.00566361,2.36961705,0.00737293
1.05374990,0.00490668,2.18867612,0.00547264
1.05624990,0.00431819,1.87183573,0.00408700
1.05874990,0.00392434,2.00563811,0.00330976
1.06124990,0.00400834,1.96360418,0.00333797
1.06374990,0.00438545,1.86442167,0.00394930
1.06624990,0.00460565,1.77528109,0.00429075
1.06874990,0.00462815,1.76664903,0.00433372
1.07124990,0.00462833,1.76658249,0.00433395
1.07374990,0.00463585,1.76371401,0.00434698
1.07624990,0.00449397,1.81939713,0.00406425
1.07874990,0.00451955,1.80909893,0.00410917
1.08124990,0.00452084,1.80858395,0.00411361
1.08374990,0.00460182,1.77675645,0.00427322
1.08624990,0.00476718,1.71512521,0.00456248
1.08874990,0.00514928,1.80893513,0.00539982
1.09124990,0.00517507,1.79992060,0.00544896
1.09374990,0.00517500,1.79994391,0.00545561
1.09624990,0.00486748,1.91365971,0.00490608
1.09874990,0.00495853,1.87852312,0.00535148
1.10124990,0.00510108,1.82602535,0.00610045
1.10374990,0.00520356,1.79006299,0.00684763
1.10624990,0.00517144,1.80118258,0.00689228
1.10874990,0.00558100,1.68544796,0.00732325
1.11124990,0.00658825,2.44202480,0.00916385
1.11374990,0.00750095,2.39983525,0.01130768
1.11624990,0.00765680,2.35098941,0.01190684
1.11874990,0.00759545,2.36997887,0.01185270
