time,x,y,z
166.43021559,-0.41180268,-0.33518824,9.79228497
166.43270610,-0.44771573,-0.31842881,9.76115990
166.43519660,-0.44804457,-0.24522926,9.78148780
166.43768710,-0.58347904,-0.41568596,9.96483339
166.44017760,-0.68290152,-0.35209007,9.83166162
166.44266810,-0.61121020,-0.35274170,10.22424606
166.44515860,-0.42413715,-0.18905656,10.20850992
166.44764910,-0.36783629,-0.22797561,10.24357219
166.45013960,-0.47758363,-0.21516646,10.22040437
166.45263010,-0.56323057,-0.28493182,9.83954482
166.45512060,-0.42860703,-0.15722596,9.83707546
166.45761110,-0.32149362,-0.13724276,9.75637746
166.46010161,-0.36077674,-0.23253620,9.48375308
166.46259211,-0.53509028,-0.17383805,9.47916398
166.46508261,-0.58445119,-0.33441466,9.48189459
166.46757311,-0.48410606,-0.20131685,9.61509596
166.47006361,-0.47335088,-0.35211858,9.89842972
166.47255411,-0.61003309,-0.44016110,9.95708005
166.47504461,-0.73443177,-0.34324363,9.99049829
166.47753511,-0.61443123,-0.34488548,10.29948217
166.48002561,-0.34774475,-0.05261321,10.28472558
166.48251611,-0.31461066,-0.20757039,10.30534597
166.48500661,-0.40263245,-0.08992308,10.07709991
166.48749712,-0.56956994,-0.22671032,9.66528342
166.48998762,-0.50399794,-0.15630195,9.63562061
166.49247812,-0.43473678,-0.16589715,9.47409896
166.49496862,-0.50270055,-0.35010040,9.45857084
166.49745912,-0.60073518,-0.25300025,9.46813984
166.49994962,-0.56874121,-0.35829045,9.64840611
166.50244012,-0.44277078,-0.27275444,9.89409682
166.50493062,-0.41691209,-0.29971641,10.03949683
166.50742112,-0.55240241,-0.39242053,10.11092084
166.50991162,-0.70557582,-0.27089574,10.04948478
166.51240213,-0.63295212,-1.58895930,9.46679357
166.51489263,-0.04956433,-1.24851563,10.63939081
166.51738313,-0.47605524,-1.52900487,9.75129250
166.51987363,-1.17616555,-0.91442461,12.17373798
166.52236413,-1.55506957,0.30585344,11.43890773
166.52485463,-1.32969818,-0.03615248,11.54932986
166.52734513,-0.00359741,0.62059700,8.87575916
166.52983563,-0.02058530,0.18457386,6.55705264
166.53232613,-1.16487320,0.60586917,5.96824829
166.53481663,-2.43568794,0.68208865,6.13365269
166.53730713,-2.25674576,0.05729442,7.51550911
166.53979764,-0.98578011,0.34017840,9.35329352
166.54228814,0.46184414,-0.53828883,11.73259549
166.54477864,0.17771319,-0.49051096,10.82785422
166.54726914,0.50127358,-2.39517592,15.23061003
166.54975964,-0.18703531,-1.08663826,12.51247927
166.55225014,1.45342093,2.53603547,10.50331865
166.55474064,1.34423930,5.37446860,9.22049573
166.55723114,0.99382821,6.76496028,7.04948337
166.55972164,0.37272778,5.01229137,7.48994422
166.56221214,-0.81702488,-0.04467600,11.14640389
166.56470264,-1.50137653,-1.86068964,10.81169510
166.56719315,-1.07719452,-6.12628244,14.82142464
166.56968365,0.14065045,-3.85957425,10.39077704
166.57217415,0.58436305,-4.21333609,11.48677916
166.57466465,1.76906877,-1.89579146,6.86032166
166.57715515,0.08820707,-2.08971591,6.75122535
166.57964565,-0.82806369,0.19092419,6.79442389
166.58213615,-1.02086592,-3.54836334,8.63801926
166.58462665,-1.35718193,-1.02425911,10.75439677
166.58711715,0.72917329,-0.27730934,10.97578701
166.58960765,0.90706779,-0.06241872,9.61385189
166.59209816,0.84657580,0.35162761,10.24080886
166.59458866,0.91343622,-0.94834778,9.06859619
166.59707916,0.03288098,-1.51948367,12.24572496
166.59956966,-0.05249434,-1.32162567,12.46625190
166.60206016,-0.30086520,-0.05180780,11.52397374
166.60455066,0.05817917,0.86064747,8.57582563
166.60704116,-0.14256014,0.64170210,5.78151135
166.60953166,-0.54749530,-0.04410377,5.91598069
166.61202216,-0.75367981,0.42067686,7.27445207
166.61451266,-0.84536471,-1.16485623,10.01511410
166.61700316,-1.01675281,0.09645919,11.26526882
166.61949367,-0.71371839,-0.58633561,11.40473705
166.62198417,-0.68180254,-0.67032914,10.77926188
166.62447467,-0.73491211,-0.87426513,10.31982296
166.62696517,-0.97311313,-0.79276697,10.08170831
166.62945567,-1.09183459,-0.59329292,10.01914187
166.63194617,-1.16594489,-0.47889250,9.90437173
166.63443667,-1.18093186,-0.27513465,9.61192746
166.63692717,-1.14885261,-0.24456604,9.59918460
166.63941767,-1.05463768,-0.19761908,9.65579418
166.64190817,-0.86477120,-0.16192077,9.82652437
166.64439867,-0.65544424,-0.20306951,9.93322106
166.64688918,-0.36894972,-0.20133526,9.90871749
166.64937968,-0.22997178,-0.32514883,9.88346046
166.65187018,-0.13279849,-0.31701609,9.82897124
166.65436068,-0.20462943,-0.38274392,9.91707443
166.65685118,-0.35165456,-0.31704935,9.89131858
166.65934168,-0.49512255,-0.26609424,9.90004172
166.66183218,-0.62605358,-0.21510407,9.89947308
166.66432268,-0.61473264,-0.09217113,9.82797211
166.66681318,-0.64124597,-0.18016315,9.80662748
166.66930368,-0.56361683,-0.14571111,9.67236740
166.67179419,-0.50048642,-0.27906202,9.72905304
166.67428469,-0.41367245,-0.29144737,9.77365499
166.67677519,-0.33619434,-0.29657170,9.90809622
166.67926569,-0.31205033,-0.27262967,9.99285064
166.68175619,-0.28100756,-0.19496854,9.96776836
166.68424669,-0.38564621,-0.25678653,9.95514441
166.68673719,-0.47522150,-0.17192409,9.77358279
166.68922769,-0.55331777,-0.29179425,9.78631039
166.69171819,-0.61375444,-0.26163465,9.70908972
166.69420869,-0.56488893,-0.27213869,9.81969379
166.69669919,-0.51255562,-0.25950301,9.89210788
166.69918970,-0.41533784,-0.21115531,9.95646438
166.70168020,-0.43676440,-0.21915441,9.90624078
166.70417070,-0.41811125,-0.21150551,9.83224909
166.70666120,-0.48156339,-0.27055770,9.84451414
166.70915170,-0.50540051,-0.24961164,9.77833343
166.71164220,-0.46189245,-0.27175023,9.89548359
166.71413270,-0.40680584,-0.26148731,9.88204841
166.71662320,-0.31977026,-0.22923762,9.90809055
166.71911370,-0.40462008,-0.32321724,9.81143856
166.72160420,-0.42856210,-0.31364042,9.74440098
166.72409470,-0.46926352,-0.36152446,9.75876617
166.72658521,-0.46686932,-0.34476504,9.76355457
166.72907571,-0.37279756,-0.28512489,10.13639769
166.73156621,-0.32024227,-0.18916375,10.19191810
166.73405671,-0.21127164,-0.17046219,10.13609966
166.73654721,-0.33946575,-0.22045850,10.04187658
166.73903771,-0.54761152,-0.40583633,9.89573374
166.74152821,-0.47351867,-0.25212645,9.90420016
166.74401871,-0.31106460,-0.18368145,9.94307305
166.74650921,-0.27555286,-0.27256728,10.10294367
166.74899971,-0.18681125,-0.11221657,10.18430074
166.75149022,-0.15851227,-0.17588678,10.07671860
166.75398072,-0.37064784,-0.10131690,9.89225600
166.75647122,-0.60093312,-0.38118518,9.87927226
166.75896172,-0.52686754,-0.26444880,9.94116905
