time,rms,crest_factor,total_fft_energy
0.36360097,0.06511381,1.92758276,0.87290167
0.36609138,0.06953354,2.01457321,1.00392418
0.36858180,0.07125291,1.96596067,1.05788360
0.37107222,0.07515287,1.86393973,1.15219913
0.37356264,0.08219763,1.87154453,1.35253656
0.37605305,0.08378431,1.83610178,1.40697818
0.37854347,0.08509818,1.80775341,1.45014606
0.38103389,0.08464268,1.81748165,1.43640867
0.38352431,0.08455768,1.81930874,1.43354729
0.38601472,0.08426310,1.82566879,1.42531565
0.38850514,0.08557683,1.79764213,1.47158748
0.39099556,0.08376215,1.83658755,1.40562250
0.39348598,0.08052186,1.91049384,1.29803245
0.39597639,0.07993029,1.92463358,1.28024917
0.39846681,0.08448722,1.82082594,1.44120482
0.40095723,0.08728575,1.76244717,1.54664873
0.40344765,0.08587251,1.79145254,1.49355612
0.40593806,0.08583562,1.79222242,1.49124603
0.40842848,0.08627873,1.78301799,1.51092848
0.41091890,0.08627590,1.78307634,1.51248465
0.41340932,0.08509496,1.80782185,1.46136574
0.41589973,0.07914139,1.94381868,1.25451773
0.41839015,0.07505166,2.04974165,1.15481811
0.42088057,0.07081470,2.17238124,1.03673671
0.42337099,0.07773545,2.70536517,1.26434729
0.42586140,0.10046991,2.96252791,2.08620641
0.42835182,0.11746896,2.53381742,2.80064204
0.43084224,0.13544313,2.24283195,3.71014862
0.43333266,0.14951001,2.03181167,4.50749659
0.43582307,0.14935416,2.03393189,4.48908749
0.43831349,0.21150503,3.19005750,9.33899842
0.44080391,0.27137741,2.80689077,15.50023784
0.44329433,0.39699635,3.26651233,35.77231619
0.44578474,0.39741468,3.26307388,35.98226768
0.44827516,0.43046374,3.01254984,44.27714082
0.45076558,0.66336763,3.40662783,104.28994730
0.45325600,0.66775301,3.38425525,103.28409283
0.45574642,0.82518964,2.73857853,168.53008994
0.45823683,0.84959080,2.65992361,181.09759523
0.46072725,0.92200820,2.45100491,192.44613854
0.46321767,1.10380159,2.45875179,289.76845322
0.46570809,1.11111053,2.44257800,289.19604985
0.46819850,1.11122910,2.44231735,291.23298520
0.47068892,1.24121001,2.18655513,373.79525171
0.47317934,1.27703039,2.12522282,379.64523395
0.47566976,1.30343050,2.08217785,404.21130081
0.47816017,1.30291620,2.08299975,399.28394198
0.48065059,1.34551269,2.01705577,449.03598558
0.48314101,1.34403804,2.01926883,450.43974630
0.48563143,1.35419157,2.00412864,468.63837843
