time,rms,total_fft_energy
1.43624990,0.00930965,0.01733393
1.43874990,0.00947715,0.01796327
1.44124990,0.00947074,0.01793898
1.44374990,0.00944826,0.01785393
1.44624990,0.00944816,0.01785354
1.44874990,0.00944877,0.01785586
1.45124990,0.00944193,0.01783000
1.45374990,0.00948017,0.01797472
1.45624990,0.00939718,0.01766140
1.45874990,0.00926758,0.01717760
1.46124990,0.00935433,0.01750070
1.46374990,0.00972688,0.01892243
1.46624990,0.01017459,0.02070447
1.46874990,0.01048615,0.02199186
1.47124990,0.00991686,0.01966882
1.47374990,0.00902692,0.01629707
1.47624990,0.00781302,0.01220866
1.47874990,0.00724677,0.01050312
1.48124990,0.00723878,0.01048000
1.48374990,0.00755770,0.01142377
1.48624990,0.00771434,0.01190220
1.48874990,0.00757875,0.01148748
1.49124990,0.00760860,0.01157816
1.49374990,0.00765430,0.01171765
1.49624990,0.00767954,0.01179505
1.49874990,0.00771546,0.01190565
1.50124990,0.00768859,0.01182289
1.50374990,0.00772519,0.01193570
1.50624990,0.00810397,0.01313486
1.50874990,0.00864694,0.01495391
1.51124990,0.00888769,0.01579821
1.51374990,0.00843201,0.01421975
1.51624990,0.00803169,0.01290162
1.51874990,0.00827147,0.01368345
1.52124990,0.00905191,0.01638741
1.52374990,0.00984019,0.01936585
1.52624990,0.01013367,0.02053825
1.52874990,0.01009828,0.02039505
1.53124990,0.00999501,0.01998006
1.53374990,0.00999456,0.01997823
1.53624990,0.01022690,0.02091789
1.53874990,0.01058157,0.02239395
1.54124990,0.01074549,0.02309313
1.54374990,0.01079671,0.02331381
1.54624990,0.01077458,0.02321832
1.54874990,0.01077777,0.02323205
1.55124990,0.01090354,0.02377743
1.55374990,0.01124503,0.02529014
1.55624990,0.01128425,0.02546686
1.55874990,0.01132652,0.02565800
1.56124990,0.01113798,0.02481094
1.56374990,0.01115894,0.02490440
1.56624990,0.01105910,0.02446074
1.56874990,0.01059983,0.02247129
1.57124990,0.00993365,0.01973548
1.57374990,0.00921412,0.01697999
1.57624990,0.00887837,0.01576508
1.57874990,0.00872142,0.01521262
1.58124990,0.00860398,0.01480570
1.58374990,0.00839732,0.01410300
1.58624990,0.00795667,0.01266172
1.58874990,0.00743697,0.01106171
1.59124990,0.00713703,0.01018744
1.59374990,0.00701000,0.00982803
1.59624990,0.00701443,0.00984045
1.59874990,0.00692715,0.00959707
1.60124990,0.00666258,0.00887799
1.60374990,0.00593399,0.00704246
1.60624990,0.00531631,0.00565263
1.60874990,0.00423851,0.00359299
1.61124990,0.00372373,0.00277324
1.61374990,0.00384869,0.00296248
1.61624990,0.00403183,0.00325113
1.61874990,0.00361314,0.00261096
1.62124990,0.00323409,0.00209187
1.62374990,0.00290584,0.00168878
1.62624990,0.00288900,0.00166927
1.62874990,0.00345091,0.00238176
1.63124990,0.00365078,0.00266564
1.63374990,0.00380283,0.00289231
1.63624990,0.00368733,0.00271928
1.63874990,0.00373391,0.00278842
1.64124990,0.00460533,0.00424182
1.64374990,0.00561749,0.00631124
1.64624990,0.00624244,0.00779362
1.64874990,0.00625835,0.00783340
1.65124990,0.00653337,0.00853698
1.65374990,0.00763238,0.01165063
1.65624990,0.00897863,0.01612316
1.65874990,0.01006260,0.02025119
1.66124990,0.01042968,0.02175566
1.66374990,0.01039004,0.02159061
1.66624990,0.01031101,0.02126338
1.66874990,0.01031546,0.02128173
1.67124990,0.01031830,0.02129345
1.67374990,0.01032037,0.02130201
1.67624990,0.01038472,0.02156849
1.67874990,0.01025851,0.02104741
1.68124990,0.01028095,0.02113957
1.68374990,0.01019330,0.02078068
1.68624990,0.01019428,0.02078465
1.68874990,0.01014936,0.02060188
1.69124990,0.00981662,0.01927322
1.69374990,0.00927665,0.01721126
1.69624990,0.00886639,0.01572256
1.69874990,0.00885611,0.01568614
1.70124990,0.00868048,0.01507015
1.70374990,0.00780315,0.01217783
1.70624990,0.00626790,0.00785732
1.70874990,0.00437841,0.00383410
1.71124990,0.00332177,0.00220684
1.71374990,0.00352535,0.00248561
1.71624990,0.00483614,0.00467765
1.71874990,0.00584813,0.00684012
1.72124990,0.00647646,0.00838892
1.72374990,0.00689526,0.00950892
1.72624990,0.00708683,0.01004462
1.72874990,0.00702382,0.00986681
1.73124990,0.00689336,0.00950369
1.73374990,0.00702420,0.00986787
1.73624990,0.00714171,0.01020081
1.73874990,0.00757667,0.01148118
1.74124990,0.00784908,0.01232161
1.74374990,0.00798146,0.01274074
1.74624990,0.00801850,0.01285928
1.74874990,0.00804328,0.01293887
1.75124990,0.00815644,0.01330551
1.75374990,0.00838464,0.01406043
1.75624990,0.00866555,0.01501837
1.75874990,0.00898183,0.01613466
1.76124990,0.00919649,0.01691509
1.76374990,0.00909628,0.01654846
1.76624990,0.00848039,0.01438339
1.76874990,0.00781802,0.01222430
1.77124990,0.00731057,0.01068890
1.77374990,0.00695730,0.00968081
1.77624990,0.00669942,0.00897645
1.77874990,0.00669795,0.00897250
1.78124990,0.00679989,0.00924770
1.78374990,0.00723630,0.01047282
1.78624990,0.00813077,0.01322189
1.78874990,0.00885822,0.01569360
1.79124990,0.00955699,0.01826722
1.79374990,0.01012023,0.02048381
1.79624990,0.01032593,0.02132497
1.79874990,0.01040479,0.02165194
1.80124990,0.01029762,0.02120818
1.80374990,0.01005769,0.02023141
1.80624990,0.00988488,0.01954217
1.80874990,0.00972024,0.01889659
1.81124990,0.00967741,0.01873045
1.81374990,0.00970421,0.01883434
1.81624990,0.00970176,0.01882481
1.81874990,0.00972268,0.01890610
1.82124990,0.00977527,0.01911120
1.82374990,0.00975732,0.01904107
1.82624990,0.00974214,0.01898186
1.82874990,0.00973617,0.01895859
1.83124990,0.00970087,0.01882136
1.83374990,0.00925847,0.01714384
1.83624990,0.00838766,0.01407055
1.83874990,0.00721797,0.01041981
1.84124990,0.00607297,0.00737619
1.84374990,0.00560100,0.00627424
1.84624990,0.00589155,0.00694208
1.84874990,0.00641682,0.00823513
1.85124990,0.00672552,0.00904652
1.85374990,0.00677384,0.00917698
1.85624990,0.00661317,0.00874680
1.85874990,0.00642181,0.00824792
1.86124990,0.00614966,0.00756366
1.86374990,0.00609669,0.00743393
1.86624990,0.00609705,0.00743481
1.86874990,0.00605353,0.00732904
1.87124990,0.00596577,0.00711808
1.87374990,0.00594438,0.00706712
1.87624990,0.00592792,0.00702804
1.87874990,0.00594450,0.00706741
1.88124990,0.00602748,0.00726610
1.88374990,0.00636134,0.00809333
1.88624990,0.00659207,0.00869109
1.88874990,0.00657356,0.00864234
1.89124990,0.00654187,0.00855921
1.89374990,0.00670152,0.00898208
1.89624990,0.00646027,0.00834701
1.89874990,0.00607442,0.00737970
1.90124990,0.00572799,0.00656197
1.90374990,0.00571351,0.00652884
1.90624990,0.00592303,0.00701645
1.90874990,0.00616806,0.00760900
1.91124990,0.00624249,0.00779373
1.91374990,0.00625007,0.00781269
1.91624990,0.00624379,0.00779699
